est_rank,rank,model,vendor,series,score,theta_est,theta,se,ci_lo,ci_hi,n_obs,basis,method,series_used,flags,release_date
70,70,MiMo-VL-7B,Xiaomi,MiMo series,5149,1.149,1.149,0.869,-0.603,2.764,0,series_prior,series prior mean of MiMo series (no observation for this model),MiMo series,no_observations|wide_ci,2025/05/30
77,77,GLM-130B,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.773,-0.317,2.636,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2022/08/03
78,78,GLM-4-AirX,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.859,-0.488,2.717,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2024/06/05
79,79,GLM-4-Flash,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.782,-0.447,2.667,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2024/06/05
80,80,GLM-4-FlashX,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.805,-0.404,2.743,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2025/04/14
81,81,GLM-4-Long,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.91,-0.654,2.994,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2024/08/13
82,82,GLM-4.5-AirX,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.831,-0.583,2.739,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2025/07/20
83,83,GLM-4.5-Flash,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.791,-0.514,2.611,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2025/07/20
84,84,GLM-4.5-X,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.793,-0.298,2.759,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2025/07/20
85,85,GLM-4.6V-Flash,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.834,-0.58,2.626,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2025/09/29
86,86,GLM-4.6V-FlashX,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.808,-0.508,2.623,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2025/09/29
87,87,GLM-4.7-FlashX,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.837,-0.574,2.664,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2025/12/22
88,88,GLM-4V-Flash,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.787,-0.457,2.55,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2024/12/09
89,89,GLM-Z1-32B,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.815,-0.437,2.626,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2025/04/08
90,90,GLM-Z1-9B,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.815,-0.417,2.81,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2025/04/08
91,91,GLM-Z1-Rumination-32B,Zhipu AI (Z.ai),GLM series,5110,1.11,1.11,0.804,-0.529,2.659,0,series_prior,series prior mean of GLM series (no observation for this model),GLM series,no_observations|wide_ci,2025/04/13
119,119,MiniMax-VL-01,MiniMax,MiniMax series,4899,0.899,0.899,0.854,-0.675,2.513,0,series_prior,series prior mean of MiniMax series (no observation for this model),MiniMax series,no_observations|wide_ci,2025/01/12
